,book,character
0,5 Baptism of Fire,Adalia
1,5 Baptism of Fire,Adela
2,5 Baptism of Fire,Aen Saevherne
3,5 Baptism of Fire,Aevenien
4,5 Baptism of Fire,Aglaïs
5,5 Baptism of Fire,Albrich
6,5 Baptism of Fire,Amavet
7,5 Baptism of Fire,Angus Bri Cri
8,5 Baptism of Fire,Anna Kameny
9,5 Baptism of Fire,Anzelm Aubry
10,5 Baptism of Fire,Artaud Terranova
11,5 Baptism of Fire,Asse
12,5 Baptism of Fire,Assire var Anahid
13,5 Baptism of Fire,Aubry (first born)
14,5 Baptism of Fire,Augusta Wagner
15,5 Baptism of Fire,Baron of Casadei
16,5 Baptism of Fire,Beatrix of Kovir
17,5 Baptism of Fire,Bronik
18,5 Baptism of Fire,Brouver Hoog
19,5 Baptism of Fire,Cahir Mawr Dyffryn aep Ceallach
20,5 Baptism of Fire,Calanthe
21,5 Baptism of Fire,Caleb Stratton
22,5 Baptism of Fire,Carduin
23,5 Baptism of Fire,Ceallach aep Gruffyd
24,5 Baptism of Fire,Cerro
25,5 Baptism of Fire,Ciaran aep Dearbh
26,5 Baptism of Fire,Ciri
27,5 Baptism of Fire,Cirilla Fiona (imposter)
28,5 Baptism of Fire,Codringher
29,5 Baptism of Fire,Coinneach Dá Reo
30,5 Baptism of Fire,Connor
31,5 Baptism of Fire,Coram I
32,5 Baptism of Fire,Coram II
33,5 Baptism of Fire,Corbett
34,5 Baptism of Fire,Cosmo Baldenvegg
35,5 Baptism of Fire,Count Lanier
36,5 Baptism of Fire,Cregennan of Lod
37,5 Baptism of Fire,Crispin
38,5 Baptism of Fire,Dagorad
39,5 Baptism of Fire,Dandelion
40,5 Baptism of Fire,Daniel Etcheverry
41,5 Baptism of Fire,Demavend III
42,5 Baptism of Fire,Echel Traighlethan
43,5 Baptism of Fire,Effenberg
44,5 Baptism of Fire,Eithné
45,5 Baptism of Fire,Elan Trahe
46,5 Baptism of Fire,Elen of Kaedwen
47,5 Baptism of Fire,Emhyr var Emreis
48,5 Baptism of Fire,Emiel Regis Rohellec Terzieff-Godefroy
49,5 Baptism of Fire,Ethain
50,5 Baptism of Fire,Falka
51,5 Baptism of Fire,Falka (alias)
52,5 Baptism of Fire,Fauve
53,5 Baptism of Fire,Field Marshal Windbag
54,5 Baptism of Fire,Figgis Merluzzo
55,5 Baptism of Fire,Fiona
56,5 Baptism of Fire,Flourens Delannoy
57,5 Baptism of Fire,Foltest
58,5 Baptism of Fire,Francesca Findabair
59,5 Baptism of Fire,Fringilla Vigo
60,5 Baptism of Fire,Geralt of Rivia
61,5 Baptism of Fire,Gerhart of Aelle
62,5 Baptism of Fire,Giselher
63,5 Baptism of Fire,Goidemar
64,5 Baptism of Fire,Havekar
65,5 Baptism of Fire,Hector Laabs
66,5 Baptism of Fire,Hedwig of Malleore
67,5 Baptism of Fire,Henselt
68,5 Baptism of Fire,Houtborg triplets
69,5 Baptism of Fire,Ida Emean aep Sivney
70,5 Baptism of Fire,Iorweth
71,5 Baptism of Fire,Isengrim Faoiltiarna
72,5 Baptism of Fire,Iskra
73,5 Baptism of Fire,Istredd
74,5 Baptism of Fire,Ithlinne
75,5 Baptism of Fire,Jacob Fenn
76,5 Baptism of Fire,Jan Lennep
77,5 Baptism of Fire,Jan Struycken
78,5 Baptism of Fire,Jolie Lanier
79,5 Baptism of Fire,Kayleigh
80,5 Baptism of Fire,Keira Metz
81,5 Baptism of Fire,Kolda
82,5 Baptism of Fire,Lara Dorren
83,5 Baptism of Fire,Leo Bonhart
84,5 Baptism of Fire,Leticia Charbonneau
85,5 Baptism of Fire,Lucretia Vigo
86,5 Baptism of Fire,Margarita Laux-Antille
87,5 Baptism of Fire,Merlin
88,5 Baptism of Fire,Meve
89,5 Baptism of Fire,Milena (peasant)
90,5 Baptism of Fire,Millet
91,5 Baptism of Fire,Milva
92,5 Baptism of Fire,Mistle
93,5 Baptism of Fire,Morteisen
94,5 Baptism of Fire,Munro Bruys
95,5 Baptism of Fire,Muriel
96,5 Baptism of Fire,Mykita
97,5 Baptism of Fire,Nazarian
98,5 Baptism of Fire,Nimue verch Wledyr ap Gwyn
99,5 Baptism of Fire,Ori Reuven
100,5 Baptism of Fire,Orla
101,5 Baptism of Fire,Papebrock
102,5 Baptism of Fire,Percival Schuttenbach
103,5 Baptism of Fire,Philippa Eilhart
104,5 Baptism of Fire,Pinto
105,5 Baptism of Fire,Radovid V
106,5 Baptism of Fire,Reef
107,5 Baptism of Fire,Reynard Odo
108,5 Baptism of Fire,Riannon
109,5 Baptism of Fire,Rience
110,5 Baptism of Fire,Riordain
111,5 Baptism of Fire,Roach
112,5 Baptism of Fire,Robert of Garramone
113,5 Baptism of Fire,Roger Kameny
114,5 Baptism of Fire,Sabrina Glevissig
115,5 Baptism of Fire,Schirrú
116,5 Baptism of Fire,Servadio
117,5 Baptism of Fire,Sheala de Tancarville
118,5 Baptism of Fire,Shilard Fitz-Oesterlen
119,5 Baptism of Fire,Sievers
120,5 Baptism of Fire,Sigismund Dijkstra
121,5 Baptism of Fire,Silvester Bugiardo
122,5 Baptism of Fire,Simlas Finn aep Dabairr
123,5 Baptism of Fire,Sirssa
124,5 Baptism of Fire,Stefan Skellen
125,5 Baptism of Fire,Stella Congreve
126,5 Baptism of Fire,Stribog
127,5 Baptism of Fire,Stucco Zangenis
128,5 Baptism of Fire,Talbot
129,5 Baptism of Fire,Tissaia de Vries
130,5 Baptism of Fire,Toruviel
131,5 Baptism of Fire,Triss Merigold
132,5 Baptism of Fire,Tugdual
133,5 Baptism of Fire,Tuzik
134,5 Baptism of Fire,Vanadain
135,5 Baptism of Fire,Vascoigne
136,5 Baptism of Fire,Vattier de Rideaux
137,5 Baptism of Fire,Vera Loewenhaupt
138,5 Baptism of Fire,Vilgefortz
139,5 Baptism of Fire,Vissegerd
140,5 Baptism of Fire,Vizimir II
141,5 Baptism of Fire,Vreemde
142,5 Baptism of Fire,Vridank
143,5 Baptism of Fire,Xarthisius
144,5 Baptism of Fire,Yazon Varda
145,5 Baptism of Fire,Yennefer of Vengerberg
146,5 Baptism of Fire,Zgarba
147,5 Baptism of Fire,Zoltan Chivay
149,3 Blood of Elves,Abrad the Old Oak
150,3 Blood of Elves,Aelirenn
151,3 Blood of Elves,Agnes of Glanville
152,3 Blood of Elves,Anna Tiller
153,3 Blood of Elves,Anséis
154,3 Blood of Elves,Artaud Terranova
155,3 Blood of Elves,Axel Esparza
156,3 Blood of Elves,Boatbug
157,3 Blood of Elves,Boratek
158,3 Blood of Elves,Bronibor
159,3 Blood of Elves,Cahir Mawr Dyffryn aep Ceallach
160,3 Blood of Elves,Calanthe
161,3 Blood of Elves,Carduin
162,3 Blood of Elves,Carla Demetia Crest
163,3 Blood of Elves,Ciri
164,3 Blood of Elves,Coën
165,3 Blood of Elves,Crach an Craite
166,3 Blood of Elves,Dandelion
167,3 Blood of Elves,Demavend III
168,3 Blood of Elves,Dezmod
169,3 Blood of Elves,Donimir of Troy
170,3 Blood of Elves,Duke de Ruyter
171,3 Blood of Elves,Edmund Bumbler
172,3 Blood of Elves,Eist Tuirseach
173,3 Blood of Elves,Ekkehard of Sodden
174,3 Blood of Elves,Emhyr var Emreis
175,3 Blood of Elves,Ervyll
176,3 Blood of Elves,Eskel
177,3 Blood of Elves,Essi Daven
178,3 Blood of Elves,Esterad Thyssen
179,3 Blood of Elves,Ethain
180,3 Blood of Elves,Eurneid
181,3 Blood of Elves,Everett
182,3 Blood of Elves,Fercart
183,3 Blood of Elves,Flavius Michelet
184,3 Blood of Elves,Foltest
185,3 Blood of Elves,Francesca Findabair
186,3 Blood of Elves,Geoffrey Monck
187,3 Blood of Elves,Geralt of Rivia
188,3 Blood of Elves,Gerhart of Aelle
189,3 Blood of Elves,Giambattista
190,3 Blood of Elves,Griffin of Temeria
191,3 Blood of Elves,Gruzila
192,3 Blood of Elves,Henselt
193,3 Blood of Elves,Herbert Stammelford
194,3 Blood of Elves,Hereward
195,3 Blood of Elves,Hrosvitha
196,3 Blood of Elves,Iola
197,3 Blood of Elves,Iola the Second
198,3 Blood of Elves,Ironware
199,3 Blood of Elves,Ithlinne
200,3 Blood of Elves,Ivo Richert
201,3 Blood of Elves,Jan Bekker
202,3 Blood of Elves,Jarre
203,3 Blood of Elves,Katje
204,3 Blood of Elves,Keira Metz
205,3 Blood of Elves,Kistrin
206,3 Blood of Elves,Lambert
207,3 Blood of Elves,Linus Pitt
208,3 Blood of Elves,Lodovico Michelet
209,3 Blood of Elves,Lucas Corto
210,3 Blood of Elves,Lydia van Bredevoort
211,3 Blood of Elves,Lytta Neyd
212,3 Blood of Elves,Mama Lantieri
213,3 Blood of Elves,Maria Louisa La Valette
214,3 Blood of Elves,Marquis La Creahme
215,3 Blood of Elves,Medell
216,3 Blood of Elves,Menno Coehoorn
217,3 Blood of Elves,Meve
218,3 Blood of Elves,Michelet brothers
219,3 Blood of Elves,Milan Raupenneck
220,3 Blood of Elves,Myhrman
221,3 Blood of Elves,Myrrha
222,3 Blood of Elves,Nenneke
223,3 Blood of Elves,Nicodemus de Boot
224,3 Blood of Elves,Niedamir
225,3 Blood of Elves,Old Baron La Valette
226,3 Blood of Elves,Olsen
227,3 Blood of Elves,Ori Reuven
228,3 Blood of Elves,Paulie Dahlberg
229,3 Blood of Elves,Pavetta
230,3 Blood of Elves,Pelligram
231,3 Blood of Elves,Philippa Eilhart
232,3 Blood of Elves,Podveyka
233,3 Blood of Elves,Radcliffe
234,3 Blood of Elves,Radovid I
235,3 Blood of Elves,Radovid III
236,3 Blood of Elves,Rayla
237,3 Blood of Elves,Regan Dahlberg
238,3 Blood of Elves,Reginald
239,3 Blood of Elves,Rience
240,3 Blood of Elves,Rizzi Michelet
241,3 Blood of Elves,Roach
242,3 Blood of Elves,Sambuk
243,3 Blood of Elves,Schrader
244,3 Blood of Elves,Shani
245,3 Blood of Elves,Sheldon Skaggs
246,3 Blood of Elves,Sigismund Dijkstra
247,3 Blood of Elves,Stran
248,3 Blood of Elves,Tissaia de Vries
249,3 Blood of Elves,Toublanc Michelet
250,3 Blood of Elves,Triss Merigold
251,3 Blood of Elves,Unist
252,3 Blood of Elves,Vanielle
253,3 Blood of Elves,Venzlav
254,3 Blood of Elves,Vera Loewenhaupt
255,3 Blood of Elves,Vesemir
256,3 Blood of Elves,Vilfrid Wenck
257,3 Blood of Elves,Vilgefortz
258,3 Blood of Elves,Villem
259,3 Blood of Elves,Virfuril
260,3 Blood of Elves,Vissegerd
261,3 Blood of Elves,Vitek
262,3 Blood of Elves,Vizimir II
263,3 Blood of Elves,Windhalm of Attre
264,3 Blood of Elves,Wolfgang Amadeus Goatbeard
265,3 Blood of Elves,Xavier Moran
266,3 Blood of Elves,Yannick Brass
267,3 Blood of Elves,Yarpen Zigrin
268,3 Blood of Elves,Yennefer of Vengerberg
269,3 Blood of Elves,Yoël Grethen
270,3 Blood of Elves,Zyvik
271,Season of Storms,Abner de Navarette
272,Season of Storms,Adda the White
273,Season of Storms,Addarion Bach
274,Season of Storms,Aguara
275,Season of Storms,Aileach Mor-Dhu
276,Season of Storms,Albert Smulka
277,Season of Storms,Algernon Guincamp
278,Season of Storms,Alzur
279,Season of Storms,Antea Derris
280,Season of Storms,Axel Esparza
281,Season of Storms,Bang
282,Season of Storms,Belohun
283,Season of Storms,Bernie Hofmeier
284,Season of Storms,Biruta Icarti
285,Season of Storms,Brehen
286,Season of Storms,Briana de Sepulveda
287,Season of Storms,Bue
288,Season of Storms,Ciri
289,Season of Storms,Codringher
290,Season of Storms,Colonel de Santis
291,Season of Storms,Coppenrath
292,Season of Storms,Cosimo Malaspina
293,Season of Storms,Dandelion
294,Season of Storms,Drofuss
295,Season of Storms,Edwina
296,Season of Storms,Effenberg
297,Season of Storms,Egmund
298,Season of Storms,Elmer
299,Season of Storms,Escayrac
300,Season of Storms,Febus Ravenga
301,Season of Storms,Ferrant de Lettenhove
302,Season of Storms,Floquet
303,Season of Storms,Frans Torquil
304,Season of Storms,Geoffrey Monck
305,Season of Storms,Geralt of Rivia
306,Season of Storms,Gonschorek
307,Season of Storms,Harlan Tzara
308,Season of Storms,Horvath
309,Season of Storms,Idarran of Ulivo
310,Season of Storms,Ildiko Breckl
311,Season of Storms,Jacob de Sepulveda
312,Season of Storms,Jacob Fenn
313,Season of Storms,Jan Bekker
314,Season of Storms,Javil Fysh
315,Season of Storms,Jerosa Fuerte
316,Season of Storms,Jonas
317,Season of Storms,Kevenard van Vliet
318,Season of Storms,Lebioda
319,Season of Storms,Ligenza
320,Season of Storms,Lindenbrog
321,Season of Storms,Lytta Neyd
322,Season of Storms,Marti Södergren
323,Season of Storms,Maximilian Borsodi
324,Season of Storms,Maximilian Borsodi's brother
325,Season of Storms,Messer Luppi
326,Season of Storms,Mikita
327,Season of Storms,Molnar Giancardi
328,Season of Storms,Mozaïk
329,Season of Storms,Myles Trethevey
330,Season of Storms,Narses de la Roche
331,Season of Storms,Nikefor Muus
332,Season of Storms,Nimue verch Wledyr ap Gwyn
333,Season of Storms,Nino Cianfanelli
334,Season of Storms,Ohnesorg
335,Season of Storms,Ortolan
336,Season of Storms,Osmyk
337,Season of Storms,Otto Dussart
338,Season of Storms,Pandolfo Forteguerra
339,Season of Storms,Parlaghy
340,Season of Storms,Pastor
341,Season of Storms,Pelligram
342,Season of Storms,Petru Cobbin
343,Season of Storms,Prochaska
344,Season of Storms,Prospero Basti
345,Season of Storms,Pudlorak
346,Season of Storms,Pyral Pratt
347,Season of Storms,Rhyd
348,Season of Storms,Richter
349,Season of Storms,Roach
350,Season of Storms,Ropp
351,Season of Storms,Sabrina Glevissig
352,Season of Storms,Samsa
353,Season of Storms,Shevlov
354,Season of Storms,Sorel Degerlund
355,Season of Storms,Stucco Zangenis
356,Season of Storms,Talbot
357,Season of Storms,Tarp
358,Season of Storms,Tarvix Sandoval
359,Season of Storms,Tiziana Frevi
360,Season of Storms,Tonton Zroga
361,Season of Storms,Trent
362,Season of Storms,Tukaj
363,Season of Storms,Tverdoruk
364,Season of Storms,Vesemir
365,Season of Storms,Videmont
366,Season of Storms,Vimme Vivaldi
367,Season of Storms,Violetta
368,Season of Storms,Viraxas
369,Season of Storms,Vizimir II
370,Season of Storms,Vorsterkranz
371,Season of Storms,Vysogota of Corvo
372,Season of Storms,Wledyr
373,Season of Storms,Xander
374,Season of Storms,Xymena de Sepulveda
375,Season of Storms,Yan Malkin
376,Season of Storms,Yennefer of Vengerberg
377,"8 Something Ends, Something Begins",Adda the White
378,"8 Something Ends, Something Begins",Agloval
379,"8 Something Ends, Something Begins",Alzur
380,"8 Something Ends, Something Begins",Annika
381,"8 Something Ends, Something Begins",Braenn
382,"8 Something Ends, Something Begins",Brennan
383,"8 Something Ends, Something Begins",Caldemeyn
384,"8 Something Ends, Something Begins",Chireadan
385,"8 Something Ends, Something Begins",Ciri
386,"8 Something Ends, Something Begins",Cirilla (dryad)
387,"8 Something Ends, Something Begins",Crach an Craite
388,"8 Something Ends, Something Begins",Czop
389,"8 Something Ends, Something Begins",Dainty Biberveldt
390,"8 Something Ends, Something Begins",Dandelion
391,"8 Something Ends, Something Begins",Devereux
392,"8 Something Ends, Something Begins",Dorregaray
393,"8 Something Ends, Something Begins",Dudu
394,"8 Something Ends, Something Begins",Eithné (Braenn's daughter)
395,"8 Something Ends, Something Begins",Eskel
396,"8 Something Ends, Something Begins",Ethain
397,"8 Something Ends, Something Begins",Eurneid
398,"8 Something Ends, Something Begins",Fregenal
399,"8 Something Ends, Something Begins",Freixenet
400,"8 Something Ends, Something Begins",Freya (Skelliger)
401,"8 Something Ends, Something Begins",Galahad
402,"8 Something Ends, Something Begins",Gardenia Biberveldt
403,"8 Something Ends, Something Begins",Geralt of Rivia
404,"8 Something Ends, Something Begins",Grozim
405,"8 Something Ends, Something Begins",Herwig
406,"8 Something Ends, Something Begins",Hotspurn
407,"8 Something Ends, Something Begins",Iola the Second
408,"8 Something Ends, Something Begins",Jarre
409,"8 Something Ends, Something Begins",Kashka
410,"8 Something Ends, Something Begins",Kehl
411,"8 Something Ends, Something Begins",Kelpie (horse)
412,"8 Something Ends, Something Begins",Korin
413,"8 Something Ends, Something Begins",Koshchey's Men
414,"8 Something Ends, Something Begins",Leo Bonhart
415,"8 Something Ends, Something Begins",Lily Biberveldt
416,"8 Something Ends, Something Begins",Loki an Craite
417,"8 Something Ends, Something Begins",Manissa
418,"8 Something Ends, Something Begins",Matholm
419,"8 Something Ends, Something Begins",Merle
420,"8 Something Ends, Something Begins",Mikula (blacksmith)
421,"8 Something Ends, Something Begins",Mistle
422,"8 Something Ends, Something Begins",Mona (dryad)
423,"8 Something Ends, Something Begins",Morenn (Braenn's daughter)
424,"8 Something Ends, Something Begins",Mousesack
425,"8 Something Ends, Something Begins",Nenneke
426,"8 Something Ends, Something Begins",Percival Schuttenbach
427,"8 Something Ends, Something Begins",Radcliffe
428,"8 Something Ends, Something Begins",Radim
429,"8 Something Ends, Something Begins",Ragnar an Craite
430,"8 Something Ends, Something Begins",Sandy Frogmorton
431,"8 Something Ends, Something Begins",Sh'eenaz
432,"8 Something Ends, Something Begins",Sigismund Dijkstra
434,"8 Something Ends, Something Begins",Sulivoy
435,"8 Something Ends, Something Begins",Topin
436,"8 Something Ends, Something Begins",Triss Merigold
437,"8 Something Ends, Something Begins",Venzlav
438,"8 Something Ends, Something Begins",Vesemir
439,"8 Something Ends, Something Begins",Villentretenmerth
440,"8 Something Ends, Something Begins",Visenna
441,"8 Something Ends, Something Begins",Vissing
